virus pdb plddt pre_TM post_TM
HA rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb 91.9 0.9711 0.3778
HA rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 91 0.9695 0.3804
HA rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb 91.7 0.9687 0.3774
HA rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 90.9 0.9678 0.3767
HA rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb 90.9 0.9687 0.3792
HA alphafold2_multimer_v3_model_1_seed_000.r0.pdb 86.2 0.9452 0.3735
HA alphafold2_multimer_v3_model_1_seed_000.r1.pdb 91.6 0.9734 0.3790
HA alphafold2_multimer_v3_model_1_seed_000.r2.pdb 91.9 0.9712 0.3778
HA alphafold2_multimer_v3_model_2_seed_000.r0.pdb 87.4 0.9646 0.3658
HA alphafold2_multimer_v3_model_2_seed_000.r1.pdb 91 0.9685 0.3785
HA alphafold2_multimer_v3_model_2_seed_000.r2.pdb 90.9 0.9687 0.3780
HA alphafold2_multimer_v3_model_3_seed_000.r0.pdb 88.7 0.9650 0.3692
HA alphafold2_multimer_v3_model_3_seed_000.r1.pdb 91.3 0.9718 0.3767
HA alphafold2_multimer_v3_model_3_seed_000.r2.pdb 91.7 0.9688 0.3774
HA alphafold2_multimer_v3_model_4_seed_000.r0.pdb 88.9 0.9480 0.3694
HA alphafold2_multimer_v3_model_4_seed_000.r1.pdb 90.8 0.9667 0.3741
HA alphafold2_multimer_v3_model_4_seed_000.r2.pdb 90.1 0.9678 0.3763
HA alphafold2_multimer_v3_model_4_seed_000.r3.pdb 91.8 0.9667 0.3760
HA alphafold2_multimer_v3_model_4_seed_000.r4.pdb 90.9 0.9679 0.3766
HA alphafold2_multimer_v3_model_5_seed_000.r0.pdb 86.4 0.9601 0.3750
HA alphafold2_multimer_v3_model_5_seed_000.r1.pdb 90.9 0.9723 0.3785
HA alphafold2_multimer_v3_model_5_seed_000.r2.pdb 91 0.9695 0.3805
