#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:C:a:A:B:b	0.2399	0.1189	6.92	0.021	0.009	0.059	519	1224	188
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:c:A:B:C	0.2359	0.1211	7.60	0.015	0.007	0.040	519	1224	202
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:b:a:B:C:c	0.2139	0.1051	6.50	0.021	0.009	0.067	519	1224	163
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:b:a:A:B:C	0.2554	0.1332	7.95	0.021	0.009	0.048	519	1224	229
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:a:C:A:B:b	0.2458	0.1210	6.60	0.033	0.014	0.090	519	1224	188
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:A:b:B:C:c	0.2157	0.1105	7.30	0.013	0.006	0.038	519	1224	182
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:c:a:A:B:C	0.2440	0.1256	7.47	0.013	0.006	0.033	519	1224	209
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:b:a:B:C:c	0.2360	0.1170	6.64	0.017	0.007	0.049	519	1224	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:a:A:B:C:c	0.2359	0.1165	6.77	0.015	0.007	0.044	519	1224	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:C:a:A:B:b	0.2251	0.1134	7.12	0.019	0.008	0.055	519	1224	183
