virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 46.2 0.2999 0.9631
LUJV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 47.4 0.2648 0.9540
LUJV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 45.8 0.3196 0.9441
LUJV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 48.7 0.3034 0.9598
LUJV rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb 51.7 0.2511 0.9621
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 45 0.2274 0.9617
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 46.8 0.2532 0.9649
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 47 0.2457 0.9577
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 46.9 0.2566 0.9595
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 46.8 0.2564 0.9550
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 47.4 0.2647 0.9555
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 47 0.2236 0.9710
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 48.4 0.3032 0.9633
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 44.7 0.2429 0.9628
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 44.7 0.3092 0.9644
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 45.4 0.3070 0.9648
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 46.2 0.3107 0.9656
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 50.2 0.2589 0.9556
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 47.2 0.2863 0.9623
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 49.4 0.2872 0.9616
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 47 0.2973 0.9615
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 48.4 0.2969 0.9618
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 48.7 0.3067 0.9625
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 47.8 0.2492 0.9612
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 47.1 0.2769 0.9649
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 48.6 0.2695 0.9680
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 49.3 0.2648 0.9628
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 50.3 0.2760 0.9645
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 51.7 0.2568 0.9654
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 45.3 0.2425 0.9533
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 45.1 0.2880 0.9488
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 46.1 0.3063 0.9479
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 46.2 0.3178 0.9489
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 46.1 0.3146 0.9466
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 45.8 0.2495 0.9451
