#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4856	0.8971	1.17	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_relaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4851	0.8957	1.20	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_relaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4863	0.8990	1.10	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_relaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4862	0.8987	1.12	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_relaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4869	0.9008	1.05	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4857	0.8974	1.16	0.370	0.689	0.749	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4869	0.9008	1.07	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4864	0.8996	1.11	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4855	0.8968	1.18	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4857	0.8974	1.16	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4857	0.8975	1.16	0.370	0.689	0.749	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4857	0.8974	1.16	0.370	0.689	0.749	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
