virus pdb plddt pre_TM post_TM
CHAV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 56.6 0.2150 0.9511
CHAV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 58.5 0.2135 0.9537
CHAV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 55.2 0.2232 0.9407
CHAV rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 53 0.2349 0.9473
CHAV rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb 53 0.2021 0.9302
CHAV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 52.4 0.2115 0.9394
CHAV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 55 0.2438 0.9397
CHAV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 55.3 0.2542 0.9434
CHAV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 55.4 0.2208 0.9423
CHAV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 55.1 0.2197 0.9435
CHAV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 55.2 0.2167 0.9448
CHAV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 46 0.1957 0.7338
CHAV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 53.2 0.2075 0.9398
CHAV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 53.6 0.2157 0.9463
CHAV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 55.5 0.2272 0.9467
CHAV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 55.8 0.2288 0.9497
CHAV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 56.6 0.2109 0.9511
CHAV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 48.1 0.2250 0.3369
CHAV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 53.7 0.2229 0.9597
CHAV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 53.9 0.2379 0.9542
CHAV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 54 0.2330 0.9517
CHAV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 53 0.2324 0.9550
CHAV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53 0.2277 0.9526
CHAV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 49.4 0.2151 0.8509
CHAV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 55.9 0.2041 0.9507
CHAV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.9 0.2180 0.9512
CHAV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 57.6 0.2038 0.9565
CHAV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 58.2 0.1935 0.9557
CHAV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 58.5 0.2214 0.9566
CHAV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 51.4 0.3239 0.9235
CHAV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 51.5 0.2009 0.9223
CHAV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 52 0.2577 0.9259
CHAV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 51.9 0.2067 0.9292
CHAV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 52.8 0.1943 0.9329
CHAV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 53 0.2024 0.9318
