virus pdb plddt pre_TM post_TM
MACV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 56.7 0.1144 0.9521
MACV rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb 54.7 0.1262 0.9458
MACV rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb 51.3 0.1511 0.9535
MACV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 52.3 0.1299 0.9124
MACV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 54.3 0.1271 0.9481
MACV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 52 0.1264 0.9322
MACV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 54.2 0.1302 0.9517
MACV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 54.4 0.1267 0.9505
MACV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 52.3 0.1545 0.9594
MACV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 52.7 0.1618 0.9551
MACV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 51.3 0.1517 0.9555
MACV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 61.3 0.1118 0.9429
MACV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 58.3 0.1008 0.9484
MACV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 56.8 0.1290 0.9463
MACV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 57.2 0.1190 0.9477
MACV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 56.4 0.1394 0.9508
MACV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 56.7 0.1383 0.9519
MACV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 57.5 0.1056 0.9490
MACV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 58.2 0.1114 0.9456
MACV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 55.7 0.1105 0.9483
MACV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 56.5 0.1133 0.9448
MACV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 54.9 0.1180 0.9525
MACV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 54.3 0.1231 0.9476
MACV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 59.4 0.1072 0.9507
MACV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 56.1 0.1530 0.9566
MACV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.8 0.1553 0.9503
MACV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 56 0.1225 0.9493
MACV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 54.8 0.1496 0.9479
MACV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 54.7 0.1269 0.9458
MACV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 52 0.1175 0.9129
MACV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 48 0.1327 0.9084
MACV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 51.8 0.1307 0.9136
MACV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 51.1 0.1283 0.9123
MACV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 51.3 0.1306 0.9125
MACV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 52.3 0.1238 0.9125
