virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 59.2 0.1848 0.9526
LUJV rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb 54.9 0.1946 0.9553
LUJV rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb 56 0.1777 0.9362
LUJV rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb 55.9 0.1683 0.9478
LUJV rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb 53.8 0.1687 0.9614
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 48.4 0.1738 0.9519
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 52.1 0.1716 0.9624
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 53.8 0.1839 0.9625
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 55.4 0.1772 0.9557
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 55.9 0.1881 0.9536
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 54.9 0.1938 0.9562
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 62.6 0.1806 0.9639
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 61.2 0.1738 0.9579
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 59.3 0.1611 0.9553
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 60.4 0.1803 0.9502
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 59.7 0.1829 0.9542
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 59.2 0.1852 0.9529
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 58.8 0.1498 0.9619
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 60 0.1772 0.9612
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 56.4 0.1549 0.9572
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 55.5 0.1564 0.9626
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 54.2 0.1607 0.9615
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.8 0.1641 0.9616
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 63.9 0.1698 0.9653
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 57.5 0.1464 0.9569
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 57 0.1756 0.9487
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 57 0.1710 0.9471
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 56.3 0.1714 0.9482
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 55.9 0.1718 0.9481
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 54.2 0.1656 0.9408
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 57.7 0.1860 0.9315
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 58.3 0.1704 0.9352
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 58 0.1698 0.9344
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 57.8 0.1667 0.9375
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 56 0.1656 0.9371
