virus pdb plddt pre_TM post_TM
LUJV rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb 59.4 0.3311 0.2908
LUJV rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb 53.2 0.3888 0.2718
LUJV rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb 48.5 0.3557 0.2732
LUJV rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb 42.3 0.3638 0.2736
LUJV rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 41.1 0.1919 0.2613
LUJV alphafold2_multimer_v3_model_1_seed_000.r0.pdb 36.6 0.1972 0.2300
LUJV alphafold2_multimer_v3_model_1_seed_000.r1.pdb 36.5 0.2452 0.2552
LUJV alphafold2_multimer_v3_model_1_seed_000.r2.pdb 38.2 0.2620 0.2932
LUJV alphafold2_multimer_v3_model_1_seed_000.r3.pdb 39.6 0.2027 0.2347
LUJV alphafold2_multimer_v3_model_1_seed_000.r4.pdb 40.9 0.2750 0.2475
LUJV alphafold2_multimer_v3_model_1_seed_000.r5.pdb 41.1 0.1923 0.2637
LUJV alphafold2_multimer_v3_model_2_seed_000.r0.pdb 39.9 0.2420 0.3110
LUJV alphafold2_multimer_v3_model_2_seed_000.r1.pdb 44 0.3460 0.2281
LUJV alphafold2_multimer_v3_model_2_seed_000.r2.pdb 46 0.3522 0.3047
LUJV alphafold2_multimer_v3_model_2_seed_000.r3.pdb 46.4 0.3510 0.3132
LUJV alphafold2_multimer_v3_model_2_seed_000.r4.pdb 47.9 0.3506 0.3080
LUJV alphafold2_multimer_v3_model_2_seed_000.r5.pdb 48.5 0.3558 0.2716
LUJV alphafold2_multimer_v3_model_3_seed_000.r0.pdb 44.9 0.1820 0.2444
LUJV alphafold2_multimer_v3_model_3_seed_000.r1.pdb 43.4 0.2035 0.2484
LUJV alphafold2_multimer_v3_model_3_seed_000.r2.pdb 49.7 0.3673 0.2758
LUJV alphafold2_multimer_v3_model_3_seed_000.r3.pdb 51.8 0.3592 0.2393
LUJV alphafold2_multimer_v3_model_3_seed_000.r4.pdb 52.6 0.3581 0.2748
LUJV alphafold2_multimer_v3_model_3_seed_000.r5.pdb 53.2 0.3896 0.2535
LUJV alphafold2_multimer_v3_model_4_seed_000.r0.pdb 47 0.3160 0.2488
LUJV alphafold2_multimer_v3_model_4_seed_000.r1.pdb 49.8 0.3610 0.2605
LUJV alphafold2_multimer_v3_model_4_seed_000.r2.pdb 56.1 0.3335 0.2573
LUJV alphafold2_multimer_v3_model_4_seed_000.r3.pdb 57.8 0.3333 0.2752
LUJV alphafold2_multimer_v3_model_4_seed_000.r4.pdb 58.5 0.3310 0.2898
LUJV alphafold2_multimer_v3_model_4_seed_000.r5.pdb 59.4 0.3312 0.2925
LUJV alphafold2_multimer_v3_model_5_seed_000.r0.pdb 36 0.2285 0.3309
LUJV alphafold2_multimer_v3_model_5_seed_000.r1.pdb 36.6 0.2786 0.3500
LUJV alphafold2_multimer_v3_model_5_seed_000.r2.pdb 39.6 0.3470 0.3150
LUJV alphafold2_multimer_v3_model_5_seed_000.r3.pdb 40.1 0.3603 0.2882
LUJV alphafold2_multimer_v3_model_5_seed_000.r4.pdb 40.2 0.3538 0.3406
LUJV alphafold2_multimer_v3_model_5_seed_000.r5.pdb 42.3 0.3631 0.2831
