#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:A:C:D:F:B	0.9664	0.9957	0.83	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_relaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:B:F:D	0.9660	0.9953	0.86	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_relaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:F:D:B	0.9662	0.9954	0.85	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_relaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:C:E:A:B:D:F	0.9664	0.9957	0.83	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_relaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:A:E:C:B:D:F	0.9662	0.9955	0.85	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:A:C:D:F:B	0.9664	0.9958	0.82	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:A:C:E:F:B:D	0.9630	0.9921	1.07	0.970	0.999	0.999	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:A:C:E:F:B:D	0.9658	0.9951	0.88	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:A:C:D:F:B	0.9664	0.9958	0.82	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:B:F:D	0.9660	0.9953	0.86	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:B:F:D	0.9270	0.9543	2.84	0.963	0.992	0.993	1389	1348	1347
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:B:F:D	0.9652	0.9944	0.93	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:B:F:D	0.9660	0.9953	0.86	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:F:D:B	0.9662	0.9955	0.84	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:A:E:C:D:B:F	0.6983	0.7174	6.60	0.706	0.728	0.833	1389	1348	1178
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:C:A:E:D:B:F	0.9648	0.9940	0.93	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_003_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:F:D:B	0.9662	0.9955	0.84	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:C:E:A:B:D:F	0.9664	0.9957	0.82	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:A:C:D:F:B	0.9283	0.9556	2.60	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:A:C:D:F:B	0.9624	0.9914	1.15	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:A:C:E:F:B:D	0.9663	0.9956	0.84	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:C:E:A:B:D:F	0.9664	0.9957	0.82	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:C:A:E:D:F:B	0.9663	0.9956	0.84	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:F:C:A:B:E:D	0.4071	0.4186	5.90	0.337	0.347	0.720	1389	1348	650
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:F:B:D	0.8829	0.9083	3.75	0.947	0.976	0.989	1389	1348	1330
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:A:E:C:B:D:F	0.9630	0.9921	1.11	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:E:C:A:F:B:D	0.9660	0.9953	0.87	0.970	1.000	1.000	1389	1348	1348
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/RSV/wTemp_all/RSV_strainA2_4MMS_3RKI_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/4mms_clean.pdb:C:A:E:D:F:B	0.9663	0.9956	0.84	0.970	1.000	1.000	1389	1348	1348
