virus pdb plddt pre_TM post_TM
LASV1 rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb 62.2 0.1755 0.1974
LASV1 rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb 48.4 0.3949 0.2177
LASV1 rank_003_alphafold2_multimer_v3_model_4_seed_000.pdb 53.7 0.3779 0.2306
LASV1 rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb 49.8 0.2992 0.2091
LASV1 rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb 38.6 0.2162 0.2259
LASV1 alphafold2_multimer_v3_model_1_seed_000.r0.pdb 36.8 0.1956 0.2248
LASV1 alphafold2_multimer_v3_model_1_seed_000.r1.pdb 35.6 0.1947 0.2336
LASV1 alphafold2_multimer_v3_model_1_seed_000.r2.pdb 37.6 0.2088 0.2271
LASV1 alphafold2_multimer_v3_model_1_seed_000.r3.pdb 37.5 0.2095 0.1975
LASV1 alphafold2_multimer_v3_model_1_seed_000.r4.pdb 37.7 0.2128 0.2427
LASV1 alphafold2_multimer_v3_model_1_seed_000.r5.pdb 38.6 0.2149 0.2073
LASV1 alphafold2_multimer_v3_model_2_seed_000.r0.pdb 45.7 0.2550 0.2229
LASV1 alphafold2_multimer_v3_model_2_seed_000.r1.pdb 54.4 0.1756 0.2054
LASV1 alphafold2_multimer_v3_model_2_seed_000.r2.pdb 58.2 0.1731 0.2237
LASV1 alphafold2_multimer_v3_model_2_seed_000.r3.pdb 59.7 0.1737 0.1987
LASV1 alphafold2_multimer_v3_model_2_seed_000.r4.pdb 61.8 0.1754 0.1959
LASV1 alphafold2_multimer_v3_model_2_seed_000.r5.pdb 62.2 0.1755 0.1964
LASV1 alphafold2_multimer_v3_model_3_seed_000.r0.pdb 53.2 0.1928 0.2254
LASV1 alphafold2_multimer_v3_model_3_seed_000.r1.pdb 50.4 0.1851 0.2296
LASV1 alphafold2_multimer_v3_model_3_seed_000.r2.pdb 51.2 0.2273 0.2161
LASV1 alphafold2_multimer_v3_model_3_seed_000.r3.pdb 49.1 0.2238 0.2013
LASV1 alphafold2_multimer_v3_model_3_seed_000.r4.pdb 49.9 0.2294 0.2047
LASV1 alphafold2_multimer_v3_model_3_seed_000.r5.pdb 49.8 0.3003 0.2342
LASV1 alphafold2_multimer_v3_model_4_seed_000.r0.pdb 46.7 0.1875 0.2219
LASV1 alphafold2_multimer_v3_model_4_seed_000.r1.pdb 48.9 0.2483 0.2657
LASV1 alphafold2_multimer_v3_model_4_seed_000.r2.pdb 51.5 0.2259 0.2109
LASV1 alphafold2_multimer_v3_model_4_seed_000.r3.pdb 53 0.3745 0.2461
LASV1 alphafold2_multimer_v3_model_4_seed_000.r4.pdb 53.4 0.3852 0.2313
LASV1 alphafold2_multimer_v3_model_4_seed_000.r5.pdb 53.7 0.3784 0.2152
LASV1 alphafold2_multimer_v3_model_5_seed_000.r0.pdb 43.5 0.2179 0.2049
LASV1 alphafold2_multimer_v3_model_5_seed_000.r1.pdb 41.4 0.2509 0.2413
LASV1 alphafold2_multimer_v3_model_5_seed_000.r2.pdb 42.6 0.3513 0.2197
LASV1 alphafold2_multimer_v3_model_5_seed_000.r3.pdb 46.4 0.3948 0.2710
LASV1 alphafold2_multimer_v3_model_5_seed_000.r4.pdb 46.6 0.3922 0.2226
LASV1 alphafold2_multimer_v3_model_5_seed_000.r5.pdb 48.4 0.3965 0.2614
